time,faces_130,faces_131,average_numeric,average_binary,task_start_sec,task_end_sec,condition
187.5,1,1,0.6,0.73,405.0,1185.0,Grid/MR
188.0,1,1,0.6,0.73,405.0,1185.0,Grid/MR
188.5,1,1,0.65,0.77,405.0,1185.0,Grid/MR
189.0,1,1,0.7,0.8,405.0,1185.0,Grid/MR
189.5,1,1,0.75,0.83,405.0,1185.0,Grid/MR
190.0,1,1,0.8,0.87,405.0,1185.0,Grid/MR
190.5,1,1,0.85,0.9,405.0,1185.0,Grid/MR
191.0,1,1,0.9,0.93,405.0,1185.0,Grid/MR
191.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
192.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
192.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
193.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
193.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
194.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
194.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
195.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
195.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
196.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
196.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
197.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
197.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
198.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
198.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
199.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
199.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
200.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
200.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
201.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
201.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
202.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
202.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
203.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
203.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
204.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
204.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
205.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
205.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
206.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
206.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
207.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
207.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
208.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
208.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
209.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
