frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
14152,07:36.500,07:36.523,1,1067.0,847.0,1166.0,986.0,,,,
14167,07:37.000,07:37.025,1,1069.0,863.0,1170.0,1003.0,,,,
14182,07:37.500,07:37.525,1,1076.0,795.0,1174.0,931.0,,,,
14197,07:38.000,07:38.017,1,1145.0,322.0,1255.0,474.0,,,,
14213,07:38.500,07:38.525,0,,,,,,,,
14228,07:39.000,07:39.025,0,,,,,,,,
14243,07:39.500,07:39.525,0,,,,,,,,
14258,07:40.000,07:40.025,0,,,,,,,,
14273,07:40.500,07:40.525,0,,,,,,,,
14288,07:41.000,07:41.027,0,,,,,,,,
14303,07:41.500,07:41.527,0,,,,,,,,
14318,07:42.000,07:42.027,0,,,,,,,,
14333,07:42.500,07:42.527,0,,,,,,,,
14348,07:43.000,07:43.027,0,,,,,,,,
14363,07:43.500,07:43.527,0,,,,,,,,
14378,07:44.000,07:44.027,0,,,,,,,,
14393,07:44.500,07:44.527,1,1118.0,120.0,1234.0,278.0,,,,
14408,07:45.000,07:45.027,2,286.0,812.0,495.0,1062.0,1370.0,819.0,1467.0,957.0
14423,07:45.500,07:45.528,2,703.0,908.0,871.0,1128.0,1709.0,922.0,1825.0,1076.0
14438,07:46.000,07:46.028,2,1464.0,878.0,1568.0,1024.0,415.0,880.0,609.0,1123.0
14451,07:46.500,07:46.528,0,,,,,,,,
14466,07:47.000,07:47.028,1,962.0,932.0,1111.0,1128.0,,,,
14482,07:47.500,07:47.528,2,586.0,820.0,752.0,1022.0,2258.0,831.0,2473.0,1096.0
14497,07:48.000,07:48.028,1,1476.0,811.0,1634.0,1014.0,,,,
14512,07:48.500,07:48.528,1,1617.0,806.0,1780.0,1015.0,,,,
14527,07:49.000,07:49.028,2,347.0,825.0,535.0,1049.0,2001.0,811.0,2205.0,1055.0
14542,07:49.500,07:49.530,1,921.0,764.0,1071.0,958.0,,,,
14557,07:50.000,07:50.030,1,946.0,723.0,1092.0,932.0,,,,
14572,07:50.500,07:50.530,1,901.0,565.0,1038.0,764.0,,,,
14587,07:51.000,07:51.030,1,897.0,597.0,1035.0,794.0,,,,
14602,07:51.500,07:51.530,1,877.0,601.0,1011.0,790.0,,,,
14617,07:52.000,07:52.030,1,816.0,614.0,953.0,809.0,,,,
14632,07:52.500,07:52.530,1,772.0,618.0,919.0,815.0,,,,
