frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y,face_4_tl_x,face_4_tl_y,face_4_br_x,face_4_br_y
5771,06:13.922,3,925.0,666.0,1091.0,900.0,1443.0,484.0,1636.0,752.0,395.0,683.0,555.0,894.0,,,,,,,,
5772,06:13.955,3,1442.0,483.0,1636.0,750.0,925.0,667.0,1091.0,900.0,395.0,683.0,556.0,894.0,,,,,,,,
5773,06:13.988,3,1440.0,484.0,1634.0,748.0,925.0,667.0,1091.0,900.0,395.0,682.0,556.0,894.0,,,,,,,,
5774,06:14.022,3,1440.0,485.0,1633.0,749.0,925.0,667.0,1091.0,900.0,395.0,683.0,556.0,894.0,,,,,,,,
5775,06:14.055,3,1438.0,485.0,1631.0,749.0,925.0,668.0,1091.0,901.0,395.0,683.0,556.0,895.0,,,,,,,,
5776,06:14.088,3,1437.0,486.0,1630.0,749.0,924.0,668.0,1090.0,901.0,395.0,684.0,555.0,895.0,,,,,,,,
5777,06:14.122,3,1437.0,486.0,1629.0,749.0,925.0,668.0,1090.0,901.0,395.0,684.0,556.0,894.0,,,,,,,,
5778,06:14.155,3,1437.0,485.0,1628.0,748.0,925.0,667.0,1091.0,900.0,395.0,682.0,556.0,894.0,,,,,,,,
5779,06:14.188,3,1437.0,481.0,1629.0,748.0,926.0,667.0,1092.0,900.0,396.0,681.0,557.0,894.0,,,,,,,,
5780,06:14.222,3,1437.0,479.0,1629.0,747.0,926.0,665.0,1092.0,900.0,397.0,680.0,558.0,893.0,,,,,,,,
5781,06:14.255,3,1436.0,476.0,1628.0,746.0,926.0,663.0,1092.0,899.0,396.0,679.0,558.0,893.0,,,,,,,,
5782,06:14.288,3,1435.0,475.0,1628.0,744.0,926.0,661.0,1092.0,899.0,396.0,678.0,558.0,892.0,,,,,,,,
5783,06:14.322,3,1434.0,476.0,1627.0,745.0,927.0,661.0,1092.0,898.0,396.0,678.0,558.0,891.0,,,,,,,,
5784,06:14.355,3,1434.0,475.0,1627.0,745.0,927.0,661.0,1093.0,898.0,396.0,677.0,558.0,891.0,,,,,,,,
5785,06:14.388,3,1433.0,473.0,1628.0,744.0,927.0,660.0,1093.0,897.0,396.0,675.0,558.0,890.0,,,,,,,,
5786,06:14.422,3,1433.0,470.0,1628.0,743.0,927.0,656.0,1094.0,896.0,396.0,673.0,558.0,888.0,,,,,,,,
5787,06:14.455,3,1434.0,472.0,1627.0,741.0,928.0,655.0,1094.0,895.0,396.0,672.0,558.0,888.0,,,,,,,,
5788,06:14.488,3,1434.0,472.0,1627.0,740.0,928.0,656.0,1095.0,895.0,397.0,673.0,559.0,888.0,,,,,,,,
5789,06:14.522,3,1435.0,472.0,1628.0,739.0,929.0,655.0,1096.0,894.0,397.0,672.0,560.0,888.0,,,,,,,,
