frame,time,faces_detected_count,061_detected,061_tl_x,061_tl_y,061_br_x,061_br_y,062_detected,062_tl_x,062_tl_y,062_br_x,062_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
36905,20:06.771,1,True,996,662,1132,829,False,,,,,False,,,,
36920,20:07.261,1,True,993,672,1126,841,False,,,,,False,,,,
36935,20:07.752,1,True,1019,744,1151,920,False,,,,,False,,,,
36950,20:08.242,1,True,1007,739,1141,914,False,,,,,False,,,,
36965,20:08.733,1,True,1006,712,1139,889,False,,,,,False,,,,
36980,20:09.223,1,True,1040,675,1170,849,False,,,,,False,,,,
36995,20:09.714,1,True,984,627,1113,803,False,,,,,False,,,,
37010,20:10.204,1,True,1058,678,1189,854,False,,,,,False,,,,
37025,20:10.695,1,True,1137,609,1264,780,False,,,,,False,,,,
37040,20:11.185,1,True,1135,641,1264,814,False,,,,,False,,,,
37055,20:11.676,1,True,1190,751,1317,926,False,,,,,False,,,,
37070,20:12.166,1,True,1192,887,1318,1065,False,,,,,False,,,,
37085,20:12.657,1,True,1181,794,1307,968,False,,,,,False,,,,
37100,20:13.147,1,True,1172,688,1301,862,False,,,,,False,,,,
37115,20:13.637,1,True,1291,726,1418,895,False,,,,,False,,,,
37130,20:14.128,1,True,1312,739,1441,918,False,,,,,False,,,,
37145,20:14.618,1,True,1285,893,1415,1069,False,,,,,False,,,,
37160,20:15.109,1,True,1148,868,1279,1042,False,,,,,False,,,,
37175,20:15.599,1,True,1275,894,1404,1070,False,,,,,False,,,,
37190,20:16.090,1,True,1229,901,1359,1074,False,,,,,False,,,,
37205,20:16.580,1,True,1210,876,1339,1048,False,,,,,False,,,,
37220,20:17.071,1,True,1188,890,1318,1065,False,,,,,False,,,,
37235,20:17.561,1,True,1210,882,1339,1052,False,,,,,False,,,,
37250,20:18.052,1,True,1204,871,1334,1040,False,,,,,False,,,,
37265,20:18.542,1,True,1210,849,1340,1020,False,,,,,False,,,,
37280,20:19.033,1,True,1196,944,1327,1122,False,,,,,False,,,,
37295,20:19.523,1,True,1229,697,1359,864,False,,,,,False,,,,
37310,20:20.014,1,True,1199,503,1332,685,False,,,,,False,,,,
37325,20:20.504,1,True,1184,594,1316,769,False,,,,,False,,,,
37340,20:20.995,1,True,1198,594,1329,772,False,,,,,False,,,,
37355,20:21.485,1,True,1211,628,1343,807,False,,,,,False,,,,
37370,20:21.976,1,True,1218,631,1347,810,False,,,,,False,,,,
37385,20:22.466,1,True,1221,628,1352,804,False,,,,,False,,,,
37400,20:22.957,1,True,1226,622,1356,800,False,,,,,False,,,,
37415,20:23.447,1,True,1229,626,1358,805,False,,,,,False,,,,
37430,20:23.938,1,True,1268,984,1399,1168,False,,,,,False,,,,
37445,20:24.428,1,True,1164,880,1292,1054,False,,,,,False,,,,
37460,20:24.919,1,True,1044,727,1170,895,False,,,,,False,,,,
37475,20:25.409,1,True,1084,689,1213,866,False,,,,,False,,,,
37490,20:25.900,1,True,1122,733,1247,900,False,,,,,False,,,,
37505,20:26.390,1,True,1151,717,1276,878,False,,,,,False,,,,
37520,20:26.881,1,True,1212,736,1341,904,False,,,,,False,,,,
37535,20:27.371,1,True,1192,747,1321,919,False,,,,,False,,,,
37550,20:27.862,1,True,1173,735,1301,901,False,,,,,False,,,,
37565,20:28.352,1,True,459,529,618,716,False,,,,,False,,,,
37580,20:28.843,1,True,717,831,857,1005,False,,,,,False,,,,
37595,20:29.333,1,True,903,924,1040,1097,False,,,,,False,,,,
37610,20:29.824,1,True,841,773,977,949,False,,,,,False,,,,
37625,20:30.314,1,True,872,670,1003,842,False,,,,,False,,,,
37640,20:30.805,1,True,847,687,981,861,False,,,,,False,,,,
37655,20:31.295,1,True,779,702,912,874,False,,,,,False,,,,
37670,20:31.786,1,True,894,755,1022,928,False,,,,,False,,,,
37685,20:32.276,1,True,1113,380,1253,568,False,,,,,False,,,,
37700,20:32.767,1,True,1055,445,1189,629,False,,,,,False,,,,
37715,20:33.257,1,True,1130,985,1261,1161,False,,,,,False,,,,
37730,20:33.748,1,True,1153,648,1281,821,False,,,,,False,,,,
37745,20:34.238,1,True,1205,483,1337,665,False,,,,,False,,,,
37760,20:34.729,1,True,1189,514,1318,690,False,,,,,False,,,,
37775,20:35.219,1,True,1144,547,1273,724,False,,,,,False,,,,
37790,20:35.710,1,True,1109,527,1240,697,False,,,,,False,,,,
37805,20:36.200,1,True,1148,534,1281,715,False,,,,,False,,,,
37820,20:36.691,1,True,1166,532,1297,718,False,,,,,False,,,,
37835,20:37.181,1,True,1063,809,1192,980,False,,,,,False,,,,
37850,20:37.672,1,True,1068,828,1201,988,False,,,,,False,,,,
37865,20:38.162,1,True,1170,643,1310,810,False,,,,,False,,,,
37880,20:38.653,1,True,1137,623,1271,796,False,,,,,False,,,,
37895,20:39.143,1,True,1130,621,1263,791,False,,,,,False,,,,
37910,20:39.633,1,True,1156,622,1289,796,False,,,,,False,,,,
37925,20:40.124,1,True,1176,683,1306,861,False,,,,,False,,,,
37940,20:40.614,1,True,1202,662,1334,844,False,,,,,False,,,,
37955,20:41.105,1,True,1190,671,1319,848,False,,,,,False,,,,
37970,20:41.595,1,True,1211,684,1342,860,False,,,,,False,,,,
37985,20:42.086,1,True,1216,674,1349,851,False,,,,,False,,,,
38000,20:42.576,1,True,1225,650,1362,830,False,,,,,False,,,,
38015,20:43.067,1,True,1218,648,1353,830,False,,,,,False,,,,
38030,20:43.557,1,True,1146,757,1279,935,False,,,,,False,,,,
38045,20:44.048,1,True,930,931,1065,1111,False,,,,,False,,,,
38060,20:44.538,0,False,,,,,False,,,,,False,,,,
38075,20:45.029,1,True,1072,616,1207,797,False,,,,,False,,,,
38090,20:45.519,1,True,1082,607,1216,785,False,,,,,False,,,,
38105,20:46.010,1,True,1083,603,1219,785,False,,,,,False,,,,
38120,20:46.500,1,True,1412,712,1548,890,False,,,,,False,,,,
38135,20:46.991,1,True,1786,746,1945,950,False,,,,,False,,,,
38150,20:47.481,1,True,1694,693,1854,907,False,,,,,False,,,,
38165,20:47.972,1,True,1560,640,1697,829,False,,,,,False,,,,
38180,20:48.462,1,True,1588,596,1725,792,False,,,,,False,,,,
38195,20:48.953,1,True,1461,527,1592,726,False,,,,,False,,,,
38210,20:49.443,1,True,2201,571,2396,796,False,,,,,False,,,,
38225,20:49.934,0,False,,,,,False,,,,,False,,,,
38240,20:50.424,0,False,,,,,False,,,,,False,,,,
38255,20:50.915,0,False,,,,,False,,,,,False,,,,
38270,20:51.405,0,False,,,,,False,,,,,False,,,,
38285,20:51.896,0,False,,,,,False,,,,,False,,,,
38300,20:52.386,0,False,,,,,False,,,,,False,,,,
38315,20:52.877,1,True,1691,586,1842,782,False,,,,,False,,,,
38330,20:53.367,1,True,1954,575,2134,781,False,,,,,False,,,,
38345,20:53.858,1,True,1974,748,2146,953,False,,,,,False,,,,
38360,20:54.348,0,False,,,,,False,,,,,False,,,,
38375,20:54.839,0,False,,,,,False,,,,,False,,,,
38390,20:55.329,0,False,,,,,False,,,,,False,,,,
38405,20:55.820,0,False,,,,,False,,,,,False,,,,
38420,20:56.310,0,False,,,,,False,,,,,False,,,,
38435,20:56.801,0,False,,,,,False,,,,,False,,,,
38450,20:57.291,0,False,,,,,False,,,,,False,,,,
38465,20:57.782,0,False,,,,,False,,,,,False,,,,
38480,20:58.272,0,False,,,,,False,,,,,False,,,,
38495,20:58.763,0,False,,,,,False,,,,,False,,,,
38510,20:59.253,0,False,,,,,False,,,,,False,,,,
38525,20:59.744,0,False,,,,,False,,,,,False,,,,
38540,21:00.234,0,False,,,,,False,,,,,False,,,,
38555,21:00.725,1,True,1662,611,1807,809,False,,,,,False,,,,
38570,21:01.215,1,True,1416,577,1550,769,False,,,,,False,,,,
38585,21:01.706,1,True,1453,579,1588,770,False,,,,,False,,,,
38600,21:02.196,1,True,1488,581,1624,772,False,,,,,False,,,,
38615,21:02.687,1,True,1504,584,1641,782,False,,,,,False,,,,
38630,21:03.177,1,True,1519,593,1654,789,False,,,,,False,,,,
38645,21:03.668,0,False,,,,,False,,,,,False,,,,
38660,21:04.158,0,False,,,,,False,,,,,False,,,,
38675,21:04.649,0,False,,,,,False,,,,,False,,,,
38690,21:05.139,0,False,,,,,False,,,,,False,,,,
38705,21:05.629,0,False,,,,,False,,,,,False,,,,
38720,21:06.120,0,False,,,,,False,,,,,False,,,,
38735,21:06.610,0,False,,,,,False,,,,,False,,,,
38750,21:07.101,0,False,,,,,False,,,,,False,,,,
38765,21:07.591,0,False,,,,,False,,,,,False,,,,
38780,21:08.082,0,False,,,,,False,,,,,False,,,,
38795,21:08.572,0,False,,,,,False,,,,,False,,,,
38810,21:09.063,0,False,,,,,False,,,,,False,,,,
38825,21:09.553,0,False,,,,,False,,,,,False,,,,
38840,21:10.044,0,False,,,,,False,,,,,False,,,,
38855,21:10.534,1,True,1521,726,1655,915,False,,,,,False,,,,
38870,21:11.025,1,True,1563,719,1703,910,False,,,,,False,,,,
38885,21:11.515,1,True,1565,722,1704,912,False,,,,,False,,,,
38900,21:12.006,1,True,1563,722,1703,912,False,,,,,False,,,,
38915,21:12.496,1,True,1566,722,1705,912,False,,,,,False,,,,
38930,21:12.987,1,True,1571,723,1708,913,False,,,,,False,,,,
38945,21:13.477,1,True,1567,720,1707,912,False,,,,,False,,,,
38960,21:13.968,1,True,1575,723,1713,915,False,,,,,False,,,,
38975,21:14.458,1,True,1572,726,1710,920,False,,,,,False,,,,
38990,21:14.949,1,True,1575,730,1716,926,False,,,,,False,,,,
39005,21:15.439,1,True,1968,863,2140,1081,False,,,,,False,,,,
39020,21:15.930,1,True,2055,709,2248,935,False,,,,,False,,,,
39035,21:16.420,1,True,1719,759,1877,961,False,,,,,False,,,,
39050,21:16.911,1,True,1395,782,1535,970,False,,,,,False,,,,
39065,21:17.401,1,True,1611,509,1768,711,False,,,,,False,,,,
39080,21:17.892,1,True,1892,777,2073,997,False,,,,,False,,,,
39095,21:18.382,1,True,2109,949,2315,1185,False,,,,,False,,,,
39110,21:18.873,1,True,1337,722,1477,912,False,,,,,False,,,,
39125,21:19.363,1,True,1572,924,1725,1128,False,,,,,False,,,,
39140,21:19.854,1,True,2092,1044,2302,1284,False,,,,,False,,,,
39155,21:20.344,0,False,,,,,False,,,,,False,,,,
39170,21:20.835,0,False,,,,,False,,,,,False,,,,
39185,21:21.325,0,False,,,,,False,,,,,False,,,,
39200,21:21.816,0,False,,,,,False,,,,,False,,,,
39215,21:22.306,0,False,,,,,False,,,,,False,,,,
39230,21:22.797,0,False,,,,,False,,,,,False,,,,
