frame,time,gaze_x,gaze_y,gaze_delta_x,gaze_delta_y,gaze_delta_euclidean,faces_detected_count,gaze_on_any_face,008_detected,008_tl_x,008_tl_y,008_br_x,008_br_y,gaze_on_008,009_detected,009_tl_x,009_tl_y,009_br_x,009_br_y,gaze_on_009,010_detected,010_tl_x,010_tl_y,010_br_x,010_br_y,gaze_on_010,011_detected,011_tl_x,011_tl_y,011_br_x,011_br_y,gaze_on_011,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y,gaze_on_UNKNOWN
16088,08:55.955,1042.0,770.0,-112.0,-14.0,112.87160847617969,2,True,True,1015,696,1100,805,True,True,1997,771,2194,998,False,False,,,,,False,False,,,,,False,False,,,,,False
16103,08:56.454,1088.0,750.0,46.0,-20.0,50.159744815937806,3,True,True,1056,682,1143,795,True,True,2058,750,2256,976,False,False,,,,,False,False,,,,,False,True,-60,365,141,631,False
16118,08:56.954,182.0,58.0,-906.0,-692.0,1140.0438588054408,3,False,True,1081,710,1168,825,False,True,2093,777,2295,1007,False,False,,,,,False,False,,,,,False,True,40,433,220,676,False
16133,08:57.454,182.0,68.0,0.0,10.0,10.0,2,False,True,2212,887,2345,1026,False,False,,,,,False,False,,,,,False,True,1249,587,1383,795,False,False,,,,,False
16148,08:57.953,182.0,68.0,0.0,0.0,0.0,1,False,False,,,,,False,False,,,,,False,False,,,,,False,False,,,,,False,True,1307,546,1447,761,False
16163,08:58.453,182.0,68.0,0.0,0.0,0.0,2,False,True,2122,940,2246,1073,False,False,,,,,False,False,,,,,False,True,1142,661,1279,871,False,False,,,,,False
16178,08:58.953,182.0,68.0,0.0,0.0,0.0,2,False,True,1413,850,1503,968,False,False,,,,,False,False,,,,,False,False,,,,,False,True,468,557,640,803,False
16193,08:59.453,1256.0,850.0,1074.0,782.0,1328.5330255586423,2,True,True,1218,822,1303,936,True,False,,,,,False,False,,,,,False,False,,,,,False,True,153,525,365,777,False
16208,08:59.952,182.0,58.0,-1074.0,-792.0,1334.4437043202684,2,False,True,1218,848,1304,963,False,False,,,,,False,False,,,,,False,False,,,,,False,True,122,551,339,810,False
16223,09:00.452,1292.0,866.0,1110.0,808.0,1372.9399112852682,2,True,True,1249,785,1335,901,True,False,,,,,False,False,,,,,False,False,,,,,False,True,174,487,386,748,False
16238,09:00.952,1280.0,772.0,-12.0,-94.0,94.76286192385707,2,True,True,1244,703,1328,820,True,False,,,,,False,False,,,,,False,False,,,,,False,True,146,468,359,728,False
