video_name,frame,time,tl_x,tl_y,br_x,br_y
063_POV.mp4,12878,12:01.527,1427.0,966.0,1498.0,1078.0
063_POV.mp4,12893,12:02.028,1417.0,961.0,1490.0,1072.0
063_POV.mp4,12908,12:02.528,1485.0,958.0,1558.0,1071.0
063_POV.mp4,15968,13:44.528,1762.0,1326.0,1808.0,1388.0
063_POV.mp4,15983,13:45.030,1760.0,1321.0,1808.0,1385.0
063_POV.mp4,16073,13:48.030,1420.0,987.0,1496.0,1095.0
063_POV.mp4,16088,13:48.530,1402.0,1013.0,1474.0,1117.0
063_POV.mp4,16103,13:49.032,1559.0,1019.0,1634.0,1126.0
063_POV.mp4,16418,13:59.527,1556.0,945.0,1628.0,1056.0
063_POV.mp4,16433,14:00.027,1560.0,945.0,1631.0,1052.0
063_POV.mp4,16448,14:00.527,1559.0,942.0,1630.0,1052.0
063_POV.mp4,16463,14:01.028,1560.0,940.0,1632.0,1050.0
063_POV.mp4,16478,14:01.528,1558.0,935.0,1632.0,1048.0
063_POV.mp4,16568,14:04.528,1622.0,883.0,1695.0,991.0
063_POV.mp4,16583,14:05.030,1392.0,1018.0,1464.0,1128.0
063_POV.mp4,16673,14:08.030,1607.0,855.0,1682.0,965.0
063_POV.mp4,16688,14:08.530,1605.0,853.0,1680.0,963.0
063_POV.mp4,16703,14:09.032,1608.0,855.0,1683.0,968.0
063_POV.mp4,16763,14:11.032,1602.0,900.0,1679.0,1009.0
063_POV.mp4,16793,14:12.023,1600.0,884.0,1672.0,989.0
063_POV.mp4,16808,14:12.523,1599.0,885.0,1671.0,991.0
063_POV.mp4,17484,14:35.025,1495.0,1004.0,1566.0,1112.0
063_POV.mp4,17499,14:35.525,1492.0,999.0,1561.0,1109.0
063_POV.mp4,17514,14:36.025,1492.0,996.0,1561.0,1109.0
063_POV.mp4,17529,14:36.525,1481.0,987.0,1553.0,1098.0
063_POV.mp4,17544,14:37.027,1484.0,974.0,1556.0,1083.0
063_POV.mp4,17559,14:37.527,1454.0,1029.0,1524.0,1137.0
063_POV.mp4,17574,14:38.027,1229.0,1006.0,1301.0,1124.0
063_POV.mp4,17589,14:38.527,1096.0,795.0,1166.0,913.0
063_POV.mp4,17604,14:39.027,1118.0,760.0,1184.0,867.0
063_POV.mp4,17619,14:39.527,1324.0,1092.0,1397.0,1208.0
063_POV.mp4,17664,14:41.028,1433.0,1008.0,1507.0,1115.0
063_POV.mp4,17679,14:41.528,1349.0,966.0,1420.0,1071.0
063_POV.mp4,17694,14:42.028,1326.0,957.0,1395.0,1055.0
063_POV.mp4,17709,14:42.528,1317.0,963.0,1387.0,1071.0
063_POV.mp4,17724,14:43.028,1322.0,959.0,1389.0,1055.0
063_POV.mp4,17739,14:43.528,1308.0,955.0,1379.0,1060.0
063_POV.mp4,17754,14:44.028,1305.0,953.0,1379.0,1056.0
063_POV.mp4,17769,14:44.528,1300.0,955.0,1374.0,1056.0
063_POV.mp4,17784,14:45.030,1262.0,987.0,1330.0,1091.0
063_POV.mp4,17799,14:45.530,1273.0,1017.0,1344.0,1122.0
063_POV.mp4,17814,14:46.030,1226.0,1000.0,1291.0,1102.0
063_POV.mp4,17829,14:46.530,1245.0,998.0,1312.0,1098.0
063_POV.mp4,17844,14:47.030,1260.0,996.0,1327.0,1097.0
063_POV.mp4,17859,14:47.530,1279.0,1006.0,1346.0,1108.0
063_POV.mp4,17874,14:48.030,1252.0,995.0,1320.0,1099.0
063_POV.mp4,17889,14:48.530,1256.0,1001.0,1326.0,1106.0
063_POV.mp4,17904,14:49.032,1268.0,986.0,1337.0,1090.0
063_POV.mp4,17919,14:49.532,1269.0,987.0,1338.0,1091.0
063_POV.mp4,17949,14:50.523,1264.0,987.0,1332.0,1089.0
063_POV.mp4,17964,14:51.023,1266.0,978.0,1336.0,1083.0
063_POV.mp4,17979,14:51.523,1274.0,975.0,1344.0,1079.0
063_POV.mp4,17994,14:52.023,1439.0,874.0,1508.0,978.0
063_POV.mp4,18009,14:52.523,1515.0,756.0,1587.0,867.0
063_POV.mp4,18024,14:53.025,1301.0,669.0,1370.0,773.0
063_POV.mp4,18039,14:53.525,1250.0,629.0,1319.0,736.0
063_POV.mp4,18054,14:54.025,1224.0,604.0,1291.0,709.0
063_POV.mp4,18069,14:54.525,1200.0,573.0,1269.0,676.0
063_POV.mp4,18084,14:55.025,1239.0,641.0,1309.0,744.0
063_POV.mp4,18099,14:55.525,1257.0,696.0,1326.0,803.0
063_POV.mp4,18114,14:56.025,1191.0,741.0,1261.0,854.0
063_POV.mp4,18129,14:56.527,1177.0,717.0,1246.0,832.0
063_POV.mp4,18144,14:57.027,1180.0,702.0,1253.0,818.0
063_POV.mp4,18159,14:57.527,1185.0,696.0,1254.0,801.0
063_POV.mp4,18174,14:58.027,1189.0,696.0,1256.0,801.0
063_POV.mp4,18189,14:58.527,1187.0,693.0,1258.0,800.0
063_POV.mp4,18204,14:59.027,1191.0,689.0,1261.0,802.0
063_POV.mp4,18219,14:59.527,1202.0,688.0,1269.0,794.0
063_POV.mp4,18234,15:00.027,1203.0,686.0,1272.0,793.0
063_POV.mp4,18249,15:00.528,1202.0,687.0,1267.0,788.0
063_POV.mp4,18264,15:01.028,1202.0,684.0,1267.0,788.0
063_POV.mp4,18279,15:01.528,1200.0,679.0,1269.0,785.0
063_POV.mp4,18294,15:02.028,1200.0,678.0,1269.0,786.0
063_POV.mp4,18309,15:02.528,1478.0,974.0,1550.0,1084.0
063_POV.mp4,18733,15:16.527,1985.0,1174.0,2034.0,1241.0
063_POV.mp4,18748,15:17.027,1979.0,1171.0,2027.0,1237.0
063_POV.mp4,18763,15:17.527,1878.0,1152.0,1922.0,1213.0
063_POV.mp4,18778,15:18.027,1768.0,1138.0,1812.0,1206.0
063_POV.mp4,18793,15:18.527,1769.0,1134.0,1813.0,1201.0
063_POV.mp4,21284,16:41.528,1494.0,1154.0,1547.0,1233.0
063_POV.mp4,21674,16:54.525,1071.0,853.0,1146.0,965.0
063_POV.mp4,21974,17:04.530,1702.0,849.0,1759.0,925.0
063_POV.mp4,24033,18:13.025,1724.0,1219.0,1773.0,1287.0
063_POV.mp4,24078,18:14.525,1351.0,1010.0,1414.0,1105.0
063_POV.mp4,24498,18:28.523,1658.0,928.0,1702.0,989.0
063_POV.mp4,24513,18:29.023,1663.0,927.0,1708.0,989.0
063_POV.mp4,24528,18:29.523,1667.0,928.0,1710.0,991.0
